RUN,Epochs,numMFs,TypeMF,OutputMF,Split1,Split2,Split3,Split4,Split5,Split6,Split7,Split8,Split9,Split10,Mean,Std,MeanTime,StdTime
1,100,5,gaussmf,linear,0.3135,0.29971,0.37068,0.3578,0.36682,0.33971,0.38391,0.29721,0.32391,0.44888,0.35021,0.046108,3.1118,0.093332
2,100,5,gaussmf,linear,0.28514,0.34775,0.37543,0.3619,0.37212,0.34637,0.36143,0.32361,0.32312,0.39113,0.3488,0.031144,3.0853,0.09648
3,100,5,gaussmf,linear,0.38128,0.43521,0.35234,0.35213,0.35996,0.29837,0.3272,0.30418,0.2962,0.36335,0.34702,0.042968,3.2502,0.52188
4,100,5,gaussmf,linear,0.37436,0.31821,0.30934,0.29968,0.33437,0.35116,0.37646,0.35522,0.38682,0.36724,0.34729,0.030441,3.1314,0.11128
5,100,5,gaussmf,linear,0.3697,0.36214,0.28697,0.32479,0.31379,0.3652,0.35407,0.39597,0.34316,0.33559,0.34514,0.03133,2.9547,0.080809
6,100,5,gaussmf,linear,0.3101,0.36629,0.34467,0.35579,0.37079,0.30716,0.39262,0.33019,0.38852,0.30338,0.34695,0.033267,2.8975,0.095846
7,100,5,gaussmf,linear,0.3225,0.37167,0.38948,0.33843,0.3375,0.30293,0.39778,0.33572,0.33564,0.30782,0.34395,0.03231,3.0597,0.093462
8,100,5,gaussmf,linear,0.34964,0.29281,0.31363,0.33803,0.44086,0.32113,0.3282,0.33439,0.35763,0.35647,0.34328,0.039713,3.149,0.13504
9,100,5,gaussmf,linear,0.38949,0.37383,0.33395,0.31979,0.33089,0.28885,0.29995,0.37884,0.37362,0.35381,0.3443,0.034938,3.1383,0.11848
10,100,5,gaussmf,linear,0.38341,0.37358,0.32392,0.31406,0.30738,0.38118,0.31613,0.34031,0.38896,0.3048,0.34337,0.034633,3.1259,0.085605
