RUN,Epochs,numMFs,TypeMF,OutputMF,Split1,Split2,Split3,Split4,Split5,Split6,Split7,Split8,Split9,Split10,Mean,Std,MeanTime,StdTime
1,50,2,gbellmf,constant,0.28669,0.35726,0.3192,0.32523,0.33683,0.38566,0.33056,0.38518,0.39043,0.29698,0.3414,0.037105,2511.5382,215.5342
2,50,2,gbellmf,constant,0.32442,0.32609,0.32836,0.30469,0.35345,0.35437,0.31787,0.32698,0.35902,0.39089,0.33861,0.02538,2510.4764,216.0985
3,50,2,gbellmf,constant,0.31643,0.39161,0.25098,0.31319,0.35893,0.33951,0.26988,0.36483,0.34183,0.4007,0.33479,0.048501,2512.6319,211.3086
4,50,2,gbellmf,constant,0.27374,0.38015,0.35546,0.32509,0.3587,0.30564,0.34493,0.32619,0.41001,0.30609,0.3386,0.039779,2511.5801,218.3164
5,50,2,gbellmf,constant,0.35233,0.40403,0.33012,0.30421,0.37538,0.31675,0.34737,0.2747,0.34808,0.27354,0.33265,0.041744,2525.3466,281.1883
6,50,2,gbellmf,constant,0.2762,0.33141,0.35718,0.36715,0.28872,0.30656,0.30477,0.38004,0.38665,0.3432,0.33419,0.038898,2510.3356,211.8663
7,50,2,gbellmf,constant,0.33428,0.33223,0.27318,0.3301,0.35312,0.36068,0.33576,0.32671,0.34995,0.42161,0.34176,0.036786,2510.9182,216.6088
8,50,2,gbellmf,constant,0.33921,0.38439,0.34056,0.34413,0.28804,0.31911,0.34741,0.30734,0.30114,0.39335,0.33647,0.03412,2510.8473,215.3391
9,50,2,gbellmf,constant,0.32447,0.4463,0.30913,0.36487,0.36793,0.2789,0.32724,0.34254,0.31855,0.30249,0.33824,0.046703,2512.0369,214.8344
10,50,2,gbellmf,constant,0.39518,0.35564,0.24238,0.30288,0.36726,0.34141,0.33543,0.37348,0.34225,0.32422,0.33801,0.042554,2509.7751,212.4431
