Epochs,numMFs,TypeMF,OutputMF,Split_1,Split_2,Split_3,Mean,Std,MeanTime,StdTime
100,5,gaussmf,linear,0.358753929546397,0.367183488709324,0.351570055452786,0.359169157902835,0.00781499427095639,2.5766055,0.0908948043525041
125,5,gaussmf,linear,0.362066345624423,0.367183488709324,0.351570055452786,0.360273296595511,0.00795965408351081,3.11532236666667,0.139903386710627
50,7,gaussmf,linear,0.368413299447251,0.363870094570707,0.350267037596188,0.360850143871382,0.00944255163934014,4.16209363333333,0.0802642133739771
75,7,gaussmf,linear,0.368413299447251,0.363870094570707,0.350267037596188,0.360850143871382,0.00944255163934014,6.3959693,0.130885683179598
100,7,gaussmf,linear,0.368413299447251,0.363870094570707,0.350267037596188,0.360850143871382,0.00944255163934014,8.06961556666667,0.17864162469683
125,7,gaussmf,linear,0.368413299447251,0.363870094570707,0.350267037596188,0.360850143871382,0.00944255163934014,9.58093903333334,0.768384555714808
50,7,gbellmf,linear,0.371020646408324,0.363984888246167,0.348927988752366,0.361311174468953,0.0112864050785753,4.0420258,0.102720853314553
75,7,gbellmf,linear,0.371020646408324,0.363984888246167,0.348927988752366,0.361311174468953,0.0112864050785753,5.93677086666667,0.113750767078747
100,7,gbellmf,linear,0.371020646408324,0.363984888246167,0.348927988752366,0.361311174468953,0.0112864050785753,8.38271393333333,0.374768280384351
125,7,gbellmf,linear,0.371020646408324,0.363984888246167,0.348927988752366,0.361311174468953,0.0112864050785753,10.3999648333333,0.0417863613711856
125,10,gbellmf,constant,0.364605196998424,0.364182417920566,0.355734323025511,0.361507312648167,0.00500402262431315,7.17880643333333,0.181751244187277
75,5,gaussmf,linear,0.35935715609977,0.370861489010329,0.354471510317759,0.361563385142619,0.00841477482336016,2.07441096666667,0.0398509876570623
50,10,gbellmf,linear,0.370587343512988,0.363895084568186,0.350724252210667,0.36173556009728,0.010106100062656,14.5863762,0.339189648426201
75,10,gbellmf,linear,0.370587343512988,0.363895084568186,0.350724252210667,0.36173556009728,0.010106100062656,22.4942867666667,3.2341306356188
100,10,gbellmf,linear,0.370587343512988,0.363895084568186,0.350724252210667,0.36173556009728,0.010106100062656,26.9467339333333,2.81383217562502
125,10,gbellmf,linear,0.370587343512988,0.363895084568186,0.350724252210667,0.36173556009728,0.010106100062656,32.7136836,3.54651799899285
50,10,gaussmf,linear,0.371918954687578,0.363887911823021,0.350654696427584,0.362153854312728,0.0107376620557586,14.3979832333333,1.23905737991731
75,10,gaussmf,linear,0.371918954687578,0.363887911823021,0.350654696427584,0.362153854312728,0.0107376620557586,20.4173322666667,2.30231922919034
100,10,gaussmf,linear,0.371918954687578,0.363887911823021,0.350654696427584,0.362153854312728,0.0107376620557586,28.1083323666667,0.833249757281058
125,10,gaussmf,linear,0.371918954687578,0.363887911823021,0.350654696427584,0.362153854312728,0.0107376620557586,31.1724191333333,2.62473225488985
100,10,gbellmf,constant,0.364926896178684,0.364239095735928,0.357941308367741,0.362369100094118,0.00384997039487224,5.87366166666667,0.324242709785777
75,10,gbellmf,constant,0.364920594941621,0.366307998785426,0.360687267226568,0.363971953651205,0.00292798497905938,3.66613916666667,0.0144594521297777
50,5,gaussmf,linear,0.365236216223771,0.374917316692902,0.353095480244175,0.364416337720283,0.0109339968478643,1.38224883333333,0.0506586936867042
50,10,gbellmf,constant,0.363684852309063,0.366307998785426,0.364350891942956,0.364781247679148,0.00136349877296211,3.14238833333333,0.0783210720034099
